text	recoder	tare	rewardrepair	selfapr	gamma	allfailure
"public void createTable() { //Log.i() String[] months = new DateFormatSymbols().getMonths(); for (int i = 0; i <= totalMonths; i++) { String month = months[i]; System.out.println(""month = "" + month); monthList.add(months[i]); }  int tableSize = tableValues.size(); for (int i = 0; i < tableSize ; i++) { TableRow[] tableRow = new TableRow[tableSize]; tableRow[i] = new TableRow(getActivity()); tableRow[i].setPadding(40,40,40,40);   TextView monthDay = new TextView(getActivity()); monthDay.setLayoutParams(new TableRow.LayoutParams(TableRow.LayoutParams.WRAP_CONTENT, TableRow.LayoutParams.WRAP_CONTENT, 1f)); monthDay.setText(monthList.get(i)); monthDay.setTextColor(Color.WHITE);  TextView visits = new TextView(getActivity()); visits.setLayoutParams(new TableRow.LayoutParams(TableRow.LayoutParams.WRAP_CONTENT, TableRow.LayoutParams.WRAP_CONTENT, 1f)); visits.setGravity(Gravity.RIGHT); //Calculates the % of totalVisits. float tempPercent = ((float)tableValues.get(i)/(float)totalVisits * 100); DecimalFormat numberFormat = new DecimalFormat(""0.00""); String percentVisits = numberFormat.format(tempPercent)+ "" %"";  //Adds two different text sizes for the visitsTxt String visitsString = tableValues.get(i).toString() + ""\n"" + percentVisits; SpannableString spanString2 =  new SpannableString(visitsString); spanString2.setSpan(new RelativeSizeSpan(0.7f), tableValues.get(i).toString().length() , spanString2.length(), 0); // set size, start-stop visits.setText(spanString2); visits.setTextColor(Color.WHITE);  tableRow[i].addView(monthDay); tableRow[i].addView(visits); table.addView(tableRow[i]); } } "	1	0	1	1	0	0
"@Test public void reactsOnRemoteChanges() throws Exception { navigation.navigate(""folderName"").files.remove(subSubFile); navigation.navigate(""folderName"").pushNotification(subSubFile, DELETE);   waitForUI(); waitUntil(() -> folderTree.getChildren().get(0).getChildren().isEmpty());  search(""inner""); expectChildren(0); } "	0	1	0	0	1	0
"@SuppressWarnings(""unchecked"") public boolean canConnect() { try { final ObjectOutputStream out = new ObjectOutputStream(streams.getBufferedOut()); // write the object output streams magic number out.flush(); final ObjectInputStream in = new ObjectInputStream(streams.getBufferedIn()); clientName = (String) in.readObject(); // the degenerate case if (loginValidator == null) { out.writeObject(null); out.flush(); // cast to string to avoid toString() call on random object if // it isn't null final String read = (String) in.readObject(); if (read != null) { throw new IllegalArgumentException(""something non null read in response to null challenge "" + read); } System.out.println(""Server done""); return true; } final Map<String, String> challenge = loginValidator.getChallengeProperties(clientName, remoteAddress); if (challenge == null) { throw new IllegalStateException(""Challenge can't be null""); } out.writeObject(challenge); out.flush(); //If the casting fails, the Object is not a Map<String, String> final Map<String, String> credentials = (Map<String, String>) in.readObject(); final String mac = MacFinder.GetHashedMacAddress(); final String error = loginValidator.verifyConnection(challenge, credentials, clientName, mac, remoteAddress); if (error == null) { out.writeObject(null); clientName = serverMessenger.getUniqueName(clientName); out.writeObject(clientName); out.flush(); return true; } out.writeObject(error); out.flush(); return false; } catch (final Exception e) { logger.log(Level.SEVERE, e.getMessage(), e); return false; } } "	1	1	1	1	1	0
private boolean jj_3R_47() { Token xsp; xsp = jj_scanpos; if (jj_scan_token(46)) jj_scanpos = xsp; if (jj_3R_69()) return true; return false; } 	0	1	1	1	0	0
@Override public void onStart() { super.onStart(); mCustomTabHelper.bindCustomTabsService(this.getActivity(), uri); } 	0	1	0	0	1	0
"@EventHandler public void onPlayerInteract(PlayerInteractEvent event) { if (War.war.isLoaded()) { Player player = event.getPlayer(); if (event.getItem().getType() == Material.WOOD_SWORD && War.war.isWandBearer(player)) { String zoneName = War.war.getWandBearerZone(player); ZoneSetter setter = new ZoneSetter(player, zoneName); if (event.getAction() == Action.LEFT_CLICK_AIR || event.getAction() == Action.RIGHT_CLICK_AIR) { War.war.badMsg(player, ""wand.toofar""); } else if (event.getAction() == Action.LEFT_CLICK_BLOCK) { setter.placeCorner1(event.getClickedBlock()); event.setUseItemInHand(Result.ALLOW); } else if (event.getAction() == Action.RIGHT_CLICK_BLOCK) { setter.placeCorner2(event.getClickedBlock()); event.setUseItemInHand(Result.ALLOW); } }  Warzone zone = Warzone.getZoneByPlayerName(player.getName()); if (zone != null && zone.getLoadoutSelections().containsKey(player.getName()) && zone.getLoadoutSelections().get(player.getName()).isStillInSpawn()) { event.setUseItemInHand(Result.DENY); event.setCancelled(true); // Replace message with sound to reduce spamminess. // Whenever a player dies in the middle of conflict they will // likely respawn still trying to use their items to attack // another player. player.playSound(player.getLocation(), Sound.ENTITY_ITEM_BREAK, 1, 0); }  if (zone != null && event.getAction() == Action.RIGHT_CLICK_BLOCK && event.getClickedBlock().getType() == Material.ENDER_CHEST && !zone.getWarzoneConfig().getBoolean(WarzoneConfig.ALLOWENDER)) { event.setCancelled(true); War.war.badMsg(player, ""use.ender""); } Team team = Team.getTeamByPlayerName(player.getName()); if (zone != null && team != null && event.getAction() == Action.RIGHT_CLICK_BLOCK && event.getClickedBlock().getType() == Material.ENCHANTMENT_TABLE && team.getTeamConfig().resolveBoolean(TeamConfig.XPKILLMETER)) { event.setCancelled(true); War.war.badMsg(player, ""use.enchant""); if (zone.getAuthors().contains(player.getName())) { War.war.badMsg(player, ""use.xpkillmeter""); } } if (zone != null && team != null && event.getAction() == Action.RIGHT_CLICK_BLOCK && event.getClickedBlock().getType() == Material.ANVIL && team.getTeamConfig().resolveBoolean(TeamConfig.XPKILLMETER)) { event.setCancelled(true); War.war.badMsg(player, ""use.anvil""); if (zone.getAuthors().contains(player.getName())) { War.war.badMsg(player, ""use.xpkillmeter""); } } if (zone != null && team != null && event.getAction() == Action.RIGHT_CLICK_BLOCK && event.getClickedBlock().getState() instanceof InventoryHolder && zone.isFlagThief(player)) { event.setCancelled(true); War.war.badMsg(player, ""drop.flag.disabled""); } }  if (event.getAction() == Action.RIGHT_CLICK_BLOCK || event.getAction() == Action.RIGHT_CLICK_AIR) { Player player = event.getPlayer(); Warzone zone = Warzone.getZoneByPlayerName(player.getName()); if (zone != null && zone.getWarzoneConfig().getBoolean(WarzoneConfig.SOUPHEALING)) { ItemStack item = event.getItem(); if ((item != null) && (item.getType() == Material.MUSHROOM_SOUP)) { if (player.getHealth() < 20) { player.setHealth(Math.min(20, player.getHealth() + 7)); item.setType(Material.BOWL); } else if (player.getFoodLevel() < 20) { player.setFoodLevel(Math.min(20, player.getFoodLevel() + 6)); player.setSaturation(player.getSaturation() + 7.2f); item.setType(Material.BOWL); } } } } } "	0	1	0	0	1	0
public TrackableResource<? extends Trackable> lookup(String trackingID) {  TrackableResource t = factoryCache.get(trackingID); if (t != null) { if (AtmosphereResource.class.isAssignableFrom(t.resource().getClass())) { AtmosphereResource.class.cast(t.resource()).addEventListener(aliveChecker); } }  return t; } 	1	1	1	1	1	0
"public void saveToOntology() { if (name != null) { Ontology ont = new Ontology(); classURI = ont.getClassName(name, simpleTypes, complexTypes, simpleComplexTypes);  OntClass clazz = Ontology.getOntologyInstance().getOntClass(classURI); instance = clazz.createIndividual(Config.ONTOLOGY_URI + ""--"" + this.namespace.toString() + name);   // simple types for (Object key : simpleTypes.keySet()) { instance.addLiteral(ont.getProperty(key.toString()), simpleTypes.get(key.toString()).toString()); }   // complex types for (Object key : complexTypes.keySet()) { ArrayList<Entity> entities = complexTypes.get(key.toString()); for (Entity ent : entities) { instance.addProperty(ont.getProperty(key.toString()), ent.instance); } }  for (Object key : simpleComplexTypes.keySet()) { ArrayList<String> values = simpleComplexTypes.get(key.toString()); for (String val : values) { instance.addLiteral(ont.getProperty(key.toString()),val); } }    }   } "	0	1	0	0	1	0
private void checkAnswer(boolean userPressed) { boolean answer=mQuestionBank[mCurrentIndex].isAnswerTrue();  int messageResId; if(!mCheated) if(userPressed==answer) messageResId=R.string.correct_toast; else messageResId=R.string.incorrect_toast; else messageResId=R.string.warning_toast;  Toast.makeText(QuizActivity.this,messageResId,Toast.LENGTH_SHORT).show(); } 	0	1	0	0	1	0
private ParameterDescription getPrefixDescriptionFor(String arg) { for (Map.Entry<IKey, ParameterDescription> es : descriptions.entrySet()) { if (arg.startsWith(es.getKey().getName())) return es.getValue(); }  return null; } 	0	1	0	0	1	0
